"","accuracy","heading","latitude","longitude","speed","timestamp"
"1",6,89,39.9886154,-83.0412135,7.59,1516231809
"2",7,93,39.9886025,-83.041103,8.61,1516231810
"3",6,92,39.9886065,-83.040974,10.18,1516231811
"4",5,96,39.9885899,-83.0408624,9.33,1516231812
"5",5,94,39.9885817,-83.0407727,9.46,1516231813
"6",5,94,39.9885661,-83.0406431,9.63,1516231814
"7",6,89,39.9885765,-83.0405559,8.66,1516231815
"8",6,93,39.9885832,-83.0404493,8.91,1516231816
"9",7,92,39.9885761,-83.040298,10.92,1516231817
"10",5,92,39.9885701,-83.0402563,6.61,1516231818
"11",5,93,39.9885715,-83.0401344,7.32,1516231819
"12",5,95,39.9885864,-83.0400441,7.13,1516231820
"13",5,98,39.9885704,-83.0399393,6.97,1516231821
"14",4,93,39.9885635,-83.0398557,7.57,1516231822
"15",4,94,39.9885571,-83.0397576,8.29,1516231823
"16",4,94,39.988552,-83.0396572,8.67,1516231824
"17",4,93,39.9885539,-83.0395617,9.52,1516231825
"18",4,92,39.9885378,-83.0394468,9.55,1516231826
"19",4,95,39.9885302,-83.0393322,9.68,1516231827
"20",4,94,39.9885167,-83.0392209,9.41,1516231828
"21",3.9,92,39.9885151,-83.0391143,9,1516231829
"22",3.9,92,39.9885175,-83.0390033,9.54,1516231830
"23",3.9,93,39.9885101,-83.0388855,10.01,1516231831
"24",3.9,94,39.9885086,-83.0387689,10.11,1516231832
"25",3.9,93,39.9885005,-83.0386388,10.53,1516231833
"26",3.9,93,39.9884961,-83.0385139,10.56,1516231834
"27",3.9,93,39.9884947,-83.0383844,10.56,1516231835
"28",3.9,93,39.9884871,-83.0382619,10.34,1516231836
"29",3.9,93,39.9884769,-83.0381484,9.96,1516231837
"30",3.9,93,39.9884694,-83.0380367,9.37,1516231838
"31",3.9,93,39.9884641,-83.0379282,8.91,1516231839
"32",3.9,93,39.9884603,-83.0378373,8.22,1516231840
"33",3.9,94,39.9884572,-83.0377444,7.84,1516231841
"34",3,93,39.9884497,-83.0376562,7.52,1516231842
"35",3.9,94,39.9884418,-83.0375777,7.23,1516231843
"36",3,95,39.9884332,-83.0375031,6.48,1516231844
"37",3.9,94,39.9884295,-83.0374421,5.28,1516231845
